uId,name,category,cx,cy,vertices
CLOTHES_SHOP_SPORT_1,Магазин спортивной одежды #1,green_zone,-1196.708,-772.2360000000001,5
CLOTHES_SHOP_SPORT_2,Магазин спортивной одежды #2,green_zone,80.09285714285714,-1389.7757142857142,7
CLOTHES_SHOP_SPORT_3,Магазин спортивной одежды #3,green_zone,422.64285714285717,-811.4342857142857,7
CLOTHES_SHOP_SPORT_5,Магазин спортивной одежды #5,green_zone,611.9680000000001,2758.412,5
CLOTHES_SHOP_SPORT_7,Магазин спортивной одежды #7,green_zone,1689.7279999999998,4824.874,5
CLOTHES_SHOP_SPORT_10,Магазин спортивной одежды #10,green_zone,6.518000000000001,6517.49,5
CLOTHES_SHOP_SPORT_12,Магазин спортивной одежды #12,green_zone,127.1,-215.834,5
CLOTHES_SHOP_SPORT_13,Магазин спортивной одежды #13,green_zone,-821.05,-1076.85,5
CLOTHES_SHOP_PREMIUM_1,Магазин премиальной одежды #1,green_zone,-712.2428571428571,-155.71142857142857,7
CLOTHES_SHOP_PREMIUM_3,Магазин премиальной одежды #3,green_zone,-165.39600000000002,-300.198,5
CARSHOP_PREMIUM_1,Классический автосалон 1 ,green_zone,-55.15,-1101.2785714285715,7
CARSHOP_PREMIUM_2,Классический автосалон 2,green_zone,-937.965,-2070.54625,8
CARSHOP_ECONOMY_1,Классический автосалон 3,green_zone,-50.032,-1679.4540000000002,5
CARSHOP_ECONOMY_2,Классический автосалон 4,green_zone,-79.962,71.53,10
CARSHOP_LUXE_2,Классический автосалон 6,green_zone,-641.3483333333334,300.37,6
CARSHOP_MOTO_ECONOMY_1,Мотосалон 1,green_zone,250.38600000000002,-1154.132,5
CARSHOP_MOTO_PREMIUM_1,Мотосалон 2,green_zone,-942.1154545454546,-1178.7,11
SHOP_AMMO_1,Ammunation #1,green_zone,20.7675,-1108.105,8
SHOP_AMMO_2,Ammunation #2,green_zone,808.722,-2141.568,5
SHOP_AMMO_5,Ammunation #5,green_zone,239.81199999999998,-45.522000000000006,5
SHOP_AMMO_6,Ammunation #6,green_zone,1696.0059999999999,3757.576,5
SHOP_AMMO_8,Ammunation #8,green_zone,-325.472,6084.104,5
SHOP_AMMO_11,Ammunation #11,green_zone,-1320.622,-392.098,5
MASK_SHOP_1,Магазин масок #1,green_zone,-1338.736,-1277.194,5
LS_CUSTOM_1,LS Custom #1,green_zone,-204.83800000000002,-1324.578,5
LS_CUSTOM_2,LS Custom #2,green_zone,-339.21333333333337,-139.85888888888888,9
LS_CUSTOM_3,LS Custom #3,green_zone,-1127.61,-1995.4808333333333,12
BARBER_SHOP_1,Барбершоп #1,green_zone,1209.06,-473.642,5
BARBER_SHOP_5,Барбершоп #5,green_zone,-1285.7740000000001,-1114.244,5
TATTO_SALON_1,Тату салон #1,green_zone,1331.398888888889,-1649.9455555555555,9
TATTO_SALON_2,Тату салон #2,green_zone,318.57,173.8083333333333,6
GAS_STATION_2,Заправка #2,green_zone,-315.26142857142855,-1473.7542857142857,7
GAS_STATION_3,Заправка #3,green_zone,168.44375,-1558.73,8
GAS_STATION_4,Заправка #4,green_zone,-520.3325,-1210.2525,8
GAS_STATION_5,Заправка #5,green_zone,1208.87,-1402.43125,8
GAS_STATION_6,Заправка #6,green_zone,623.90125,267.0025,8
GAS_STATION_9,Заправка #9,green_zone,-2101.821111111111,-317.53333333333336,9
GAS_STATION_13,Заправка #13,green_zone,42.958333333333336,2787.5416666666665,6
GAS_STATION_14,Заправка #14,green_zone,-2542.6377777777775,2321.503333333333,9
GAS_STATION_18,Заправка #18,green_zone,174.54285714285714,6600.5314285714285,7
GAS_STATION_19,Заправка #19,green_zone,263.25875,-1264.4875,8
SERVICESTATIONSS,СТО №2,green_zone,1422.23,3574.66,5
SERVICESTATIONLS,СТО №1,green_zone,731.886,-1073.606,5
MOVIEMAKING,Киностудия,green_zone,,,0
PRODUCT_SHOP_1&SHOP_AMMO_4&GAS_STATION_21,"24/7 #1, Ammunation #4, Заправка #21",green_zone,-710.22875,-932.421875,16
PRODUCT_SHOP_2&GAS_STATION_1,"24/7 #2, Заправка #1",green_zone,-64.575,-1755.8633333333335,6
PRODUCT_SHOP_6&GAS_STATION_11,"24/7 #6, Заправка #11",green_zone,-1813.1457142857143,798.3914285714285,7
PRODUCT_SHOP_7&GAS_STATION_10,"24/7 #7, Заправка #10",green_zone,1183.462,-339.594,10
PRODUCT_SHOP_9&GAS_STATION_15,"24/7 #9, Заправка #15",green_zone,2673.4666666666667,3266.5533333333333,6
PRODUCT_SHOP_10&SHOP_AMMO_10&GAS_STATION_7,"24/7 #10, Ammunation #10, Заправка #7",green_zone,2580.9313333333334,332.15,15
PRODUCT_SHOP_14&GAS_STATION_12&CLOTHES_SHOP_SPORT_6&BANK3,"24/7 #14, Заправка #12, Магазин спорт. одежды #6, Fleeca Bank",green_zone,1187.9158333333332,2685.254166666667,12
PRODUCT_SHOP_15&GAS_STATION_16&BARBER_SHOP_3&TATTO_SALON_3,"24/7 #15, Заправка #16, Барбершоп #3, Тату салон #3",green_zone,1923.57,3749.7845454545454,11
PRODUCT_SHOP_17&GAS_STATION_17,"24/7 #17, Заправка #17",green_zone,1706.4242857142856,6411.341428571429,7
SHOP_AMMO_7&CLOTHES_SHOP_SPORT_4,"Ammunation #7, Магазин спортивной одежды #4",green_zone,-3163.060588235294,1076.4941176470588,17
SHOP_AMMO_3&GAS_STATION_20,"Ammunation #3, Заправка #20",green_zone,835.484,-1022.134,5
SHOP_AMMO_9&CLOTHES_SHOP_SPORT_11,"Ammunation #9, Магазин спортивной одежды #11",green_zone,-1108.9157142857143,2704.7057142857147,7
GAS_STATION_8&CLOTHES_SHOP_PREMIUM_2,"Заправка #8, Магазин премиальной одежды #2",green_zone,-1434.3826666666669,-233.07000000000002,15
BARBER_SHOP_2&CARSHOP_LUXE_1,"Барбершоп #2, Классический автосалон 5",green_zone,-804.21,-204.962,5
BARBER_SHOP_4&TATTO_SALON_4,"Барбершоп #4, Тату салон #4",green_zone,-292.5175,6215.22375,8
PUMPANDRUN_GYM,Спортзал Pump and Run,green_zone,-1260.4599999999998,-351.4414285714286,7
MUSCLE_GYM,Спортзал Muscle,green_zone,119.58,327.2175,8
CONTAINERS_AUCTION,Аукцион контейнеров,green_zone,,,0
REDNECKS,Rednecks,green_zone,-1105.6516666666666,4925.96,18
EPSILON,Epsilon,green_zone,-699.349375,67.049375,16
ANIMALS,Animals,green_zone,-248.27399999999997,6319.338,5
POSTOP_PORT,Склад PostOP в порту,green_zone,1179.82,-3284.946,5
POSTOP_AIRPORT,Склад PostOP в аэропорту,green_zone,-1085.308,-2061.342,5
POSTOP_PALETO,Склад PostOP в Палето-Бэй,green_zone,186.602,6388.5419999999995,5
TRUCKSTATION1,Магазин грузовиков,green_zone,-793.29,-2648.412,5
WEAPONSKIN_SHOP,Магазин модификаций оружия,green_zone,1726.7455555555557,3714.3733333333334,9
RGB_CLOTHES_SHOP,Spectrumi,green_zone,-201.038,-36.25,5
