id,x,y,label,category,group,blipId,link
shop_247_8,1134.24,-982.44,8,shop,business,11,/docs/businesses/product-shops
shop_247_9,2677.93,3279.3,9,shop,business,11,/docs/businesses/product-shops
shop_247_10,2557.23,380.85,10,shop,business,11,/docs/businesses/product-shops
shop_247_11,-3038.99,584.56,11,shop,business,11,/docs/businesses/product-shops
shop_247_12,-3242.27,1000.0,12,shop,business,11,/docs/businesses/product-shops
shop_247_13,549.06,2671.27,13,shop,business,11,/docs/businesses/product-shops
shop_247_14,1165.96,2710.8,14,shop,business,11,/docs/businesses/product-shops
shop_247_15,1960.11,3740.05,15,shop,business,11,/docs/businesses/product-shops
shop_247_16,1698.06,4922.96,16,shop,business,11,/docs/businesses/product-shops
shop_247_17,1727.89,6415.24,17,shop,business,11,/docs/businesses/product-shops
shop_247_18,-2966.42,390.91,18,shop,business,11,/docs/businesses/product-shops
shop_247_19,-1486.24,-378.04,19,shop,business,11,/docs/businesses/product-shops
gas_1,-70.09,-1760.91,1,gas,business,152,/docs/businesses/gas-station
gas_2,-316.43,-1477.71,2,gas,business,152,/docs/businesses/gas-station
gas_3,177.33,-1554.39,3,gas,business,152,/docs/businesses/gas-station
gas_4,-513.09,-1216.91,4,gas,business,152,/docs/businesses/gas-station
gas_5,1208.89,-1390,5,gas,business,152,/docs/businesses/gas-station
gas_6,634.85,268.77,6,gas,business,152,/docs/businesses/gas-station
gas_7,2573.63,361.95,7,gas,business,152,/docs/businesses/gas-station
gas_8,-1432.04,-282.29,8,gas,business,152,/docs/businesses/gas-station
gas_9,-2096.31,-313.45,9,gas,business,152,/docs/businesses/gas-station
gas_10,1179.39,-330.77,10,gas,business,152,/docs/businesses/gas-station
gas_11,-1799.11,802.59,11,gas,business,152,/docs/businesses/gas-station
gas_12,1211.24,2656.68,12,gas,business,152,/docs/businesses/gas-station
gas_13,47.12,2780.82,13,gas,business,152,/docs/businesses/gas-station
gas_14,-2555.45,2334.24,14,gas,business,152,/docs/businesses/gas-station
gas_15,2678.5,3264.93,15,gas,business,152,/docs/businesses/gas-station
gas_16,2005.04,3774.34,16,gas,business,152,/docs/businesses/gas-station
gas_17,1707.1,6413.93,17,gas,business,152,/docs/businesses/gas-station
gas_18,180.03,6602.64,18,gas,business,152,/docs/businesses/gas-station
gas_19,264.93,-1263.26,19,gas,business,152,/docs/businesses/gas-station
gas_20,818.22,-1040.83,20,gas,business,152,/docs/businesses/gas-station
gas_21,-724.02,-934.02,21,gas,business,152,/docs/businesses/gas-station
clothing_1,-1193.86,-766.96,1,clothing,business,20,/docs/businesses/clothes-shop
clothing_2,78.04,-1387.7,2,clothing,business,20,/docs/businesses/clothes-shop
clothing_3,422.93,-811.44,3,clothing,business,20,/docs/businesses/clothes-shop
clothing_4,-3169.44,1043.23,4,clothing,business,20,/docs/businesses/clothes-shop
clothing_5,612.99,2762.7,5,clothing,business,20,/docs/businesses/clothes-shop
clothing_6,1201.89,2707.55,6,clothing,business,20,/docs/businesses/clothes-shop
clothing_7,1691.96,4817.3,7,clothing,business,20,/docs/businesses/clothes-shop
clothing_8,-0.83,6510.85,8,clothing,business,20,/docs/businesses/clothes-shop
clothing_9,-1095.79,2712.05,9,clothing,business,20,/docs/businesses/clothes-shop
clothing_10,126.95,-224.18,10,clothing,business,20,/docs/businesses/clothes-shop
clothing_11,-816.5,-1073.21,11,clothing,business,20,/docs/businesses/clothes-shop
clothing_premium_1,-709.18,-151.4,1,clothing_premium,business,156,/docs/businesses/clothes-shop
clothing_premium_2,-1456.38,-231.84,2,clothing_premium,business,156,/docs/businesses/clothes-shop
clothing_premium_3,-165.14,-303.37,3,clothing_premium,business,156,/docs/businesses/clothes-shop
clothing_lux_1,-570.81,-406.43,1,clothing_lux,business,398,/docs/businesses/clothes-shop
spectrumi_1,-200.27,-32.04,1,spectrumi,business,381,/docs/inf-org/basics
jewelry_1,-634.02,-236.13,1,jewelry,business,397,
car_classic_1,-60.12,-1089.37,1,car_classic,business,101,/docs/businesses/transport-shops
car_classic_2,-906.2,-2036.16,2,car_classic,business,101,/docs/businesses/transport-shops
car_classic_3,-43.24,-1673.1,3,car_classic,business,101,/docs/businesses/transport-shops
car_classic_4,-65.05,60.26,4,car_classic,business,101,/docs/businesses/transport-shops
car_classic_5,-801.94,-228.15,5,car_classic,business,101,/docs/businesses/transport-shops
car_classic_6,-635.08,292.99,6,car_classic,business,101,/docs/businesses/transport-shops
moto_1,267.81,-1158.52,1,moto,business,262,/docs/businesses/transport-shops
moto_2,-942.63,-1193.85,2,moto,business,262,/docs/businesses/transport-shops
car_platinum_1,-191.47,-1164.8,1,car_platinum,business,296,/docs/businesses/transport-shops
heli_1,-680.29,-1442.86,1,heli,business,5,/docs/businesses/transport-shops
truck_1,-770.61,-2585.85,1,truck,business,232,/docs/businesses/transport-shops
boat_1,-816.07,-1346.19,1,boat,business,196,/docs/businesses/transport-shops
rent_cars,-515.29,54.78,Аренда авто,rent,business,261,
rent_bikes,-1267.42,-1482.02,Аренда велосипедов,rent,business,261,
rent_jetskis,-2997.84,-1.45,Аренда гидроциклов,rent,business,261,
rent_atvs,-770.56,5548.98,Аренда квадроциклов,rent,business,261,
rent_boats_1,1587.9,3847.54,Аренда лодок №1,rent,business,261,
rent_boats_2,1521.31,6632.03,Аренда лодок №2,rent,business,261,
weapon_1,14.72,-1115.75,1,weapon,business,45,/docs/businesses/weapon-shops
weapon_2,814.77,-2146.87,2,weapon,business,45,/docs/businesses/weapon-shops
weapon_3,846.55,-1020.93,3,weapon,business,45,/docs/businesses/weapon-shops
weapon_4,-661.34,-946.17,4,weapon,business,45,/docs/businesses/weapon-shops
weapon_5,242.57,-47.45,5,weapon,business,45,/docs/businesses/weapon-shops
weapon_6,1701.96,3753.47,6,weapon,business,45,/docs/businesses/weapon-shops
weapon_7,-3161.7,1084.36,7,weapon,business,45,/docs/businesses/weapon-shops
weapon_8,-321.31,6077.1,8,weapon,business,45,/docs/businesses/weapon-shops
weapon_9,-1110.1,2691.56,9,weapon,business,45,/docs/businesses/weapon-shops
weapon_10,2566.77,304.12,10,weapon,business,45,/docs/businesses/weapon-shops
weapon_11,-1315.69,-392.64,11,weapon,business,45,/docs/businesses/weapon-shops
mask_1,-1335.66,-1280.68,1,mask,business,209,/docs/businesses/clothes-shop
ls_custom_1,-206.64,-1341.88,1,ls_custom,business,19,/docs/businesses/los-santos-customs
ls_custom_2,-356.09,-134.73,2,ls_custom,business,19,/docs/businesses/los-santos-customs
ls_custom_3,-1139.55,-2005.85,3,ls_custom,business,19,/docs/businesses/los-santos-customs
barber_1,1211.43,-470.64,1,barber,business,18,/docs/businesses/barbershops
barber_2,-821.83,-183.34,2,barber,business,18,/docs/businesses/barbershops
barber_3,1930.64,3728,3,barber,business,18,/docs/businesses/barbershops
barber_4,-277.81,6230.64,4,barber,business,18,/docs/businesses/barbershops
barber_5,-1284.23,-1115.16,5,barber,business,18,/docs/businesses/barbershops
tattoo_1,1324.93,-1650.78,1,tattoo,business,21,/docs/businesses/tattoo-parlors
tattoo_2,320.06,181.6,2,tattoo,business,21,/docs/businesses/tattoo-parlors
tattoo_3,1862.53,3748.46,3,tattoo,business,21,/docs/businesses/tattoo-parlors
tattoo_4,-291.9,6199.86,4,tattoo,business,21,/docs/businesses/tattoo-parlors
mech_1,726.28,-1066.45,1,mech,business,366,/docs/businesses/technical-stations
mech_2,1442.59,3583.86,2,mech,business,366,/docs/businesses/technical-stations
car_wash_1,-699.81,-933.46,1,car_wash,car_wash,36,
car_wash_2,1182.57,2639.3,2,car_wash,car_wash,36,
car_wash_3,2005.41,3798.1,3,car_wash,car_wash,36,
post_1,67.97,126.05,1,post,post,172,/docs/special-work/postman
post_2,-422.17,6135.82,2,post,post,172,/docs/special-work/postman
post_3,2009.41,3721.03,3,post,post,172,/docs/special-work/postman
id_photo_1,-568.65,-235.69,1,id_photo,id_photo,461,/docs/start/first-entry
mobile_home_1,105.59,3591.51,1,mobile_home,mobile_home,356,
office_acadius,-117.02,-604.49,Acadius,office,office,24,/docs/inf-org/basics
office_lom_bank,-1581.38,-558.18,Lom Bank,office,office,24,/docs/inf-org/basics
office_maze_bank_building,-79.33,-837.02,Maze Bank Building,office,office,24,/docs/inf-org/basics
office_maze_bank_west,-1379.58,-499.52,Maze Bank West,office,office,24,/docs/inf-org/basics
office_rockford_hills_bc,-1032.86,-421.24,Rockford Hills BC,office,office,24,/docs/inf-org/basics
office_total_bankers_bc,-589.5,-707.26,Total Bankers BC,office,office,24,/docs/inf-org/basics
club_angels_of_death,1984.45,3054.63,Angels of Death,club,club,255,
club_bandidos,-2179.8,4292.95,Bandidos,club,club,255,
club_lost_mc,987.41,-95.49,Lost MC,club,club,255,
club_car_meet,753.83,-1827.42,Car Meet,club,club,255,
club_epsilon,-691.39,62.79,Epsilon Program,club,club,255,
club_rednecks,-1144.94,4902.5,Rednecks,club,club,255,
night_club_bahama_mamas,-1388.6,-586.57,Bahama Mamas,night_club,night_club,51,/docs/crime-factions/night-clubs
night_club_comedy_club,-430.61,263.79,Comedy Club,night_club,night_club,51,/docs/crime-factions/night-clubs
night_club_galaxy,-19.58,240.63,Galaxy,night_club,night_club,51,/docs/crime-factions/night-clubs
night_club_oriental,302.25,204.77,Oriental,night_club,night_club,51,/docs/crime-factions/night-clubs
night_club_vanilla_unicorn,129.16,-1299.3,Vanilla Unicorn,night_club,night_club,51,/docs/crime-factions/night-clubs
night_club_cayo_perico,4890.62,-4924.78,Cayo Perico Club,night_club,night_club,51,/docs/crime-factions/night-clubs
hall_of_fame_gangs,-233.81,-1490.7,Зал славы банд,hall_of_fame,hall_of_fame,186,
hall_of_fame_mafias,967.32,63.84,Зал славы мафий,hall_of_fame,hall_of_fame,186,
hall_of_fame_gov,-505.87,-199.45,Зал славы государственных структур,hall_of_fame,hall_of_fame,186,
street_gang_sq26,151.97,-1725.62,,street_gang,street_gang,27,
street_gang_sq40,972.22,-1819.66,,street_gang,street_gang,27,
street_gang_sq12,1378.44,-2080.52,,street_gang,street_gang,27,
mafia_russian,-1538.26,118.64,Русская Мафия,mafia,mafia,401,
mafia_armenian,-117.53,983.81,Армянская Мафия,mafia,mafia,401,
mafia_mexican,1392.08,1138.59,Мексиканская Мафия,mafia,mafia,401,
mafia_japanese,-1035.58,304.26,Японская Мафия,mafia,mafia,401,
mafia_italian,-1876.36,2049.41,Итальянская Мафия,mafia,mafia,401,
gov_lspd,454.39,-990.81,LSPD,government,government,191,
gov_lssd,-445.54,6009.94,LSSD,government,government,191,
gov_fib,103.46,-744.65,FIB,government,government,191,
gov_prison,1691.21,2597.79,Федеральная Тюрьма,government,government,191,
gov_weazel_news,-602.38,-934.49,Weazel News,government,government,191,
gov_national_guard,-2452.66,3290.74,National Guard,government,government,191,
gov_hospital_ls,351.01,-1413.15,Больница г. Los Santos,government,government,191,
gov_hospital_blaine,1842.21,3674.83,Больница округа Блейн,government,government,191,
gov_mayor_blaine,-461.04,6028.57,Мэрия округа Блейн,government,government,191,
gov_mayor_ls,-547.79,-199.61,Мэрия г. Los Santos,government,government,191,
commercial_rent_1,500.43,-1965.07,1,commercial_rent,commercial_rent,163,/docs/real-estate/commercials
commercial_rent_2,891.66,-2538.69,2,commercial_rent,commercial_rent,163,/docs/real-estate/commercials
commercial_rent_3,-1070.8,-2003.5,3,commercial_rent,commercial_rent,163,/docs/real-estate/commercials
commercial_rent_4,895.09,-882.94,4,commercial_rent,commercial_rent,163,/docs/real-estate/commercials
commercial_rent_5,51.7,6486.11,5,commercial_rent,commercial_rent,163,/docs/real-estate/commercials
commercial_transport_1,1176.79,-3180.71,1,commercial_transport,commercial_transport,567,/docs/transport/species
commercial_transport_2,-792.39,-2628.01,2,commercial_transport,commercial_transport,567,/docs/transport/species
commercial_transport_3,-290.68,6032.06,3,commercial_transport,commercial_transport,567,/docs/transport/species
commercial_transport_4,2677.74,3467.35,4,commercial_transport,commercial_transport,567,/docs/transport/species
commercial_transport_5,1198.72,-1570.47,5,commercial_transport,commercial_transport,567,/docs/transport/species
parking_1,-1167.46,-700.66,1,parking,parking,263,
parking_2,-167.81,-2142.75,2,parking,parking,263,
parking_3,-611.97,-2236.47,3,parking,parking,263,
impound_1,490.32,-57.57,1,impound,impound,177,
impound_2,-1.35,6307.09,2,impound,impound,177,
wedding_church_1,-780.44,0.65,1,wedding_church,wedding_church,346,/docs/activities/church
wedding_church_2,-308.08,6144.56,2,wedding_church,wedding_church,346,/docs/activities/church
wedding_church_3,4844.25,-4877.73,3,wedding_church,wedding_church,346,/docs/activities/church
cayo_perico_1,1283.24,-3331.5,1,cayo_perico,cayo_perico,447,
cayo_perico_2,4900.16,-5192.03,2,cayo_perico,cayo_perico,447,
container_auction_1,1216.33,-2978.15,1,container_auction,container_auction,514,/docs/activities/auctions
license_plate_sale_1,455.36,-1149.72,1,license_plate_sale,license_plate_sale,178,/docs/transport/registration
bank_1,149.75,-1039.4,1,bank,bank,330,
bank_2,-1213.64,-329.15,2,bank,bank,330,
bank_3,1175.34,2705.79,3,bank,bank,330,
bank_4,314.65,-277.38,4,bank,bank,330,
bank_5,-350.52,-47.97,5,bank,bank,330,
bank_6,-2964.23,482.99,6,bank,bank,330,
bank_7,241.7,219.72,7,bank,bank,330,
bank_8,-109.36,6464.18,8,bank,bank,330,
weapon_mods_1,1737.77,3709.72,1,weapon_mods,weapon_mods,292,
heists_1,1417.59,6344.06,1,heists,heists,341,/docs/crime-factions/rob-home
dealer_valuables,-1459.43,-413.88,Скупщик найденных ценностей,dealer,dealer,293,
dealer_fish_1,1560.88,2181.52,Скупщик рыбы №1,dealer,dealer,293,
dealer_fish_2,-268.76,2217.62,Скупщик рыбы №2,dealer,dealer,293,
dealer_hides,2033.84,3182.17,Скупщик шкур,dealer,dealer,293,
secret_shop_1,1090.01,-779.81,,secret_shop,business,293,/docs/businesses/secret-shop
bus_station_1,-804.73,-2393.81,1,bus_station,work,257,/docs/lic-work/bus
bus_station_2,-2136.58,-396.94,2,bus_station,work,257,/docs/lic-work/bus
arena_maze_bank,-260,-2022,Maze Bank Arena,arena,arena,371,/docs/activities/maze-bank-arena
auto_workshop_1,109.95,6627.78,,auto_workshop,business,237,/docs/businesses/auto-workshop
driving_school_1,232.85,373.09,,driving_school,driving_school,275,/docs/start/first-entry
real_estate_1,-1030.59,-1384.04,,real_estate,real_estate,164,/docs/real-estate/home
amphitheater_1,672.22,561.05,1,amphitheater,amphitheater,290,
amphitheater_2,198.16,1165.59,2,amphitheater,amphitheater,290,
auction_1,-555.43,-599.93,,auction,auction,171,/docs/activities/auctions
vet_clinic_1,-254.21,6322.98,,vet_clinic,vet_clinic,154,/docs/character/peds
divers_1,1695.16,42.98,1,divers,work,579,/docs/special-work/diving
divers_2,-2116.34,-554.71,2,divers,work,579,/docs/special-work/diving
divers_3,1524.14,3916.47,3,divers,work,579,/docs/special-work/diving
drift_track_1,1122.26,77.23,,drift_track,drift_track,237,/docs/activities/race
cash_in_transit_1,109.3,-1088.06,1,cash_in_transit,work,232,/docs/lic-work/collector
cash_in_transit_2,-1199.91,-1473.62,2,cash_in_transit,work,232,/docs/lic-work/collector
casino_1,950,30,,casino,casino,408,/docs/activities/casino
karting_1,1113.49,62.73,,karting,karting,370,/docs/activities/race
film_studio_1,-1061.02,-520.96,,film_studio,film_studio,473,/docs/activities/studio
cinema_1,-1423.41,-214.6,1,cinema,cinema,59,/docs/activities/cinema
cinema_2,-723.31,-685.22,2,cinema,cinema,59,/docs/activities/cinema
bag_shop_1,706.43,-961.09,,bag_shop,business,400,/docs/businesses/clothes-shop
furniture_shop_1,2748,3472.71,,furniture_shop,business,353,
dock_manager_1,-806.66,-1498.07,,dock_manager,dock_manager,183,
fishing_shop_1,1539.36,3793.99,,fishing_shop,fishing_shop,161,/docs/special-work/fishing
training_complex_1,602.93,-436.53,,training_complex,training_complex,134,/docs/activities/training-complex
gym_1,-1205.64,-1574.35,1,gym,gym,133,/docs/activities/sport
gym_2,-1256.74,-354.99,2,gym,gym,133,/docs/activities/sport
gym_3,125.74,334.08,3,gym,gym,133,/docs/activities/sport
beach_volleyball_1,-2989.79,12.66,1,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_2,-1501.15,-992.75,2,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_3,-1525.81,-1023.93,3,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_4,-1264.58,-1653.84,4,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_5,-1245.21,-1676.01,5,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_6,-1230.74,-1696.71,6,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_7,-1245.56,-1803.82,7,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_8,-1299.7,-1720.56,8,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_9,-1351.56,-1643.28,9,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_10,-1396.15,-1565.66,10,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_11,-1428.84,-1490.99,11,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_12,-1468.78,-1411.04,12,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_13,-1497.68,-1317.91,13,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_14,-1518.49,-1252.98,14,beach_volleyball,sport,349,/docs/activities/sport
beach_volleyball_15,-1565.67,-1195.01,15,beach_volleyball,sport,349,/docs/activities/sport
basketball_1,-205.68,-1513.67,1,basketball,sport,50,/docs/activities/sport
basketball_2,-1313.86,-1598.85,2,basketball,sport,50,/docs/activities/sport
basketball_3,-1275.16,-1530.71,3,basketball,sport,50,/docs/activities/sport
basketball_4,66.92,51.41,4,basketball,sport,50,/docs/activities/sport
basketball_5,1680.25,2513.07,5,basketball,sport,50,/docs/activities/sport
basketball_6,-2946.31,30.54,6,basketball,sport,50,/docs/activities/sport
basketball_7,-941.86,-730.46,7,basketball,sport,50,/docs/activities/sport
basketball_8,-905.69,-724.45,8,basketball,sport,50,/docs/activities/sport
football_1,771.29,-233.3,1,football,sport,184,/docs/activities/sport
football_2,-1737.54,158.61,2,football,sport,184,/docs/activities/sport
football_3,-1806.77,3236.14,3,football,sport,184,/docs/activities/sport
tennis_1,-773.07,157.79,1,tennis,sport,52,/docs/activities/sport
tennis_2,-1171.78,-1614.18,2,tennis,sport,52,/docs/activities/sport
tennis_3,486.36,-221.19,3,tennis,sport,52,/docs/activities/sport
tennis_4,-938.16,-1257.87,4,tennis,sport,52,/docs/activities/sport
tennis_5,-1231.39,374.74,5,tennis,sport,52,/docs/activities/sport
tennis_6,-2898.41,26.89,6,tennis,sport,52,/docs/activities/sport
tennis_7,-1609.98,258.86,7,tennis,sport,52,/docs/activities/sport
tennis_8,-1308.97,-109.76,8,tennis,sport,52,/docs/activities/sport
tennis_9,-1348.45,-112.8,9,tennis,sport,52,/docs/activities/sport
table_tennis_1,-1410.27,-1085.96,1,table_tennis,sport,350,/docs/activities/sport
table_tennis_2,-1396.05,-1166.87,2,table_tennis,sport,350,/docs/activities/sport
table_tennis_3,-1376.31,-1260.06,3,table_tennis,sport,350,/docs/activities/sport
table_tennis_4,-1333.22,-1493.84,4,table_tennis,sport,350,/docs/activities/sport
table_tennis_5,-2190.94,-418.07,5,table_tennis,sport,350,/docs/activities/sport
table_tennis_6,2151.53,4797.25,6,table_tennis,sport,350,/docs/activities/sport
table_tennis_7,1966.64,3828.9,7,table_tennis,sport,350,/docs/activities/sport
table_tennis_8,2057.77,3178.15,8,table_tennis,sport,350,/docs/activities/sport
table_tennis_9,1059.9,-792.93,9,table_tennis,sport,350,/docs/activities/sport
table_tennis_10,1141.11,-675.74,10,table_tennis,sport,350,/docs/activities/sport
table_tennis_11,-1615.16,-1043.57,11,table_tennis,sport,350,/docs/activities/sport
table_tennis_12,-1454.75,-1018.97,12,table_tennis,sport,350,/docs/activities/sport
table_tennis_13,-1253.56,-1505.56,13,table_tennis,sport,350,/docs/activities/sport
table_tennis_14,-1476.22,-1004.93,14,table_tennis,sport,350,/docs/activities/sport
table_tennis_15,-1669.65,-1149.35,15,table_tennis,sport,350,/docs/activities/sport
metro_station_1,-1041.27,-2743.46,1,metro_station,metro,210,
metro_station_2,-948.68,-2338.35,2,metro_station,metro,210,
metro_station_3,-542.51,-1286.69,3,metro_station,metro,210,
metro_station_4,274.48,-1204.17,4,metro_station,metro,210,
metro_station_5,-245.45,-334.91,5,metro_station,metro,210,
metro_station_6,-801.11,-100.13,6,metro_station,metro,210,
metro_station_7,-1369.46,-527.74,7,metro_station,metro,210,
metro_station_8,-490.11,-697.93,8,metro_station,metro,210,
metro_station_9,-212.87,-1031.53,9,metro_station,metro,210,
metro_station_10,113.55,-1724.26,10,metro_station,metro,210,
amusement_park_1,-1663.97,-1126.7,,amusement_park,amusement_park,111,
mechanics_1,-822.63,-756.98,1,mechanics,work,28,/docs/lic-work/mechanic
mechanics_2,-17.51,6454.27,2,mechanics,work,28,/docs/lic-work/mechanic
fire_station_1,195.99,-1652.77,1,fire_station,work,257,/docs/special-work/firefighter
fire_station_2,1194.04,-1480.86,2,fire_station,work,257,/docs/special-work/firefighter
fire_station_3,1691.56,3585.87,3,fire_station,work,257,/docs/special-work/firefighter
fire_station_4,-370.06,6108.05,4,fire_station,work,257,/docs/special-work/firefighter
